,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
10,-0.6021726,0.47575456,-0.9024379,0.79048926,0.8462258,-0.13834448,0.91327584,0.4869696,-0.21385747,-0.08017081,0.063232936,0.75688106,0.8662614,-0.928166,-0.57928663,0.7968852,0.522942,0.03258362,-0.023595007,0.77950823,-0.9478239,0.84491456,-0.8851341,0.24763982,-0.041713893,-0.5887942,0.955644,0.80853856,0.84885246,-0.011172235,0.8628345,-0.82180667,0.8436849,-0.8387414,-0.018218027,0.99448925,-0.34630778,0.7207203,0.83711255,-0.0038247486,-0.85341054,-0.8671372,-0.8886249,0.6403952,0.7304478,-0.6643591,0.5339087,-0.44526103,-0.69443554,-0.006723535,0.7250212,-0.49766013,-0.06574357,0.4610487,-0.8671278,0.6964188,0.8697625,0.251744,0.71090215,0.030298106,0.93786585,-0.8586847,-0.7850038,0.61543703
11,-0.59189886,0.47727424,-0.90371644,0.7893404,0.83995444,-0.13933145,0.91386795,0.48897147,-0.21389376,-0.079023816,0.06595828,0.7574341,0.86608535,-0.92824125,-0.5772701,0.7957051,0.51959527,0.03168649,-0.040223014,0.77972585,-0.9500359,0.84448624,-0.88456446,0.24595511,-0.04104305,-0.6054206,0.9557045,0.80410004,0.8450505,-0.010919948,0.8650917,-0.8217757,0.84447867,-0.8450722,-0.017186465,0.99382704,-0.34401178,0.7190637,0.8367654,-0.0037015988,-0.85049504,-0.8673069,-0.8856965,0.6658387,0.7247054,-0.6565123,0.5346026,-0.4462794,-0.68883884,-0.0064597484,0.7216582,-0.4954664,-0.06558705,0.41705257,-0.86546123,0.69577354,0.8695662,0.25488344,0.71970904,0.030139934,0.9376218,-0.8599783,-0.7874123,0.6186559
12,-0.5693299,0.46019232,-0.9041935,0.7736035,0.8217384,-0.14342888,0.9099154,0.4821668,-0.21535762,-0.07588639,0.057814077,0.7511129,0.8591534,-0.92549413,-0.57822067,0.80100995,0.5138583,0.0332121,-0.048341844,0.7752577,-0.94903076,0.84308314,-0.89554965,0.29649094,-0.041981515,-0.5565224,0.9529263,0.82760376,0.8494472,-0.012240042,0.8631447,-0.8233026,0.8396319,-0.83702374,-0.021549795,0.99384475,-0.3444746,0.7110705,0.8330226,-0.003837515,-0.85591173,-0.8640886,-0.844333,0.70292264,0.7088328,-0.65428054,0.54092765,-0.43576613,-0.68821055,-0.006564136,0.71872646,-0.49428815,-0.06521712,0.4023062,-0.8600208,0.69902515,0.86571336,0.25804672,0.72239333,0.029344033,0.9356084,-0.8547017,-0.779092,0.59092844
13,-0.5693299,0.46019232,-0.9041935,0.7736035,0.8217384,-0.14342888,0.9099154,0.4821668,-0.21535762,-0.07588639,0.057814077,0.7511129,0.8591534,-0.92549413,-0.57822067,0.80100995,0.5138583,0.0332121,-0.048341844,0.7752577,-0.94903076,0.84308314,-0.89554965,0.29649094,-0.041981515,-0.5565224,0.9529263,0.82760376,0.8494472,-0.012240042,0.8631447,-0.8233026,0.8396319,-0.83702374,-0.021549795,0.99384475,-0.3444746,0.7110705,0.8330226,-0.003837515,-0.85591173,-0.8640886,-0.844333,0.70292264,0.7088328,-0.65428054,0.54092765,-0.43576613,-0.68821055,-0.006564136,0.71872646,-0.49428815,-0.06521712,0.4023062,-0.8600208,0.69902515,0.86571336,0.25804672,0.72239333,0.029344033,0.9356084,-0.8547017,-0.779092,0.59092844
14,-0.5750107,0.59348863,-0.926009,0.8314988,0.76723045,-0.09441566,0.9213408,0.5644503,-0.20765235,-0.027199093,-0.0025064931,0.78927594,0.85871166,-0.3407652,-0.54823714,0.6994577,0.6451179,0.025482448,-0.15234435,0.7808222,-0.9184348,0.80641663,-0.89038956,0.057928115,-0.04288339,-0.46215203,0.9539837,0.83310956,0.7758077,-0.005743949,0.8124207,-0.83383954,0.776215,-0.81522495,0.0092618605,0.97089034,-0.4208013,0.7382639,0.8243213,-0.0032037238,-0.68234974,-0.79183364,-0.93309766,0.93221664,0.714212,-0.51441497,0.62974495,-0.5348883,-0.692864,-0.018757787,0.687271,-0.4389732,-0.058808506,0.9410104,-0.7982712,0.65813184,0.82974046,0.24440895,0.656411,0.05349488,0.5480467,-0.85010904,-0.808805,0.66707253
15,-0.80285275,0.67010695,-0.8397522,0.85103554,0.9089012,-0.08802834,0.91700727,0.4328335,-0.1592446,-0.10254958,0.025732392,0.74877954,0.87204,-0.8972828,-0.6023082,0.81113976,0.61904407,0.038781445,0.20764023,0.79560983,-0.8297926,0.84730095,-0.82681113,-0.058198355,-0.04047473,-0.09507846,0.9563094,0.9215931,0.9181586,-0.021269927,0.8344373,-0.856605,0.792814,-0.80288684,0.029065674,0.9365234,-0.3767621,0.8048271,0.82179606,-0.006663639,-0.86174786,-0.85671014,-0.9635171,0.6470513,0.78805876,-0.73470265,0.5964191,-0.39589545,-0.77808267,-0.012683577,0.81647754,-0.51141745,-0.07672012,0.88816684,-0.89346606,0.6278307,0.8428786,0.20598634,0.5724739,0.020519823,0.9270759,-0.7263734,-0.7629933,0.72841907
16,-0.6406374,0.51325804,-0.9076796,0.8261831,0.735502,-0.14500682,0.88032097,0.30334994,-0.056737747,0.0031614504,0.005315404,0.7352293,0.82106054,0.13792378,-0.45483932,0.5006561,0.64757484,0.100745834,-0.006430378,0.69765174,-0.79462963,0.75508183,-0.74112767,0.029771442,-0.03238767,-0.12365331,0.89394504,0.75721985,0.8515563,-0.020632472,0.74208254,-0.78556633,0.5742376,-0.67302316,0.015377948,0.8049082,-0.55328405,0.76843745,0.71362865,-0.016689215,-0.5368907,-0.5472269,-0.8109273,0.5755371,0.66579455,-0.5850615,0.70709485,-0.3529381,-0.43458325,-0.03439889,0.6313415,-0.3858621,-0.09903008,0.93573797,-0.64303255,0.48286745,0.74517184,0.13315299,0.17346081,0.033545677,0.3570659,-0.014427349,-0.72538465,0.68090105
17,-0.5750107,0.59348863,-0.926009,0.8314988,0.76723045,-0.09441566,0.9213408,0.5644503,-0.20765235,-0.027199093,-0.0025064931,0.78927594,0.85871166,-0.3407652,-0.54823714,0.6994577,0.6451179,0.025482448,-0.15234435,0.7808222,-0.9184348,0.80641663,-0.89038956,0.057928115,-0.04288339,-0.46215203,0.9539837,0.83310956,0.7758077,-0.005743949,0.8124207,-0.83383954,0.776215,-0.81522495,0.0092618605,0.97089034,-0.4208013,0.7382639,0.8243213,-0.0032037238,-0.68234974,-0.79183364,-0.93309766,0.93221664,0.714212,-0.51441497,0.62974495,-0.5348883,-0.692864,-0.018757787,0.687271,-0.4389732,-0.058808506,0.9410104,-0.7982712,0.65813184,0.82974046,0.24440895,0.656411,0.05349488,0.5480467,-0.85010904,-0.808805,0.66707253
18,-0.80285275,0.67010695,-0.8397522,0.85103554,0.9089012,-0.08802834,0.91700727,0.4328335,-0.1592446,-0.10254958,0.025732392,0.74877954,0.87204,-0.8972828,-0.6023082,0.81113976,0.61904407,0.038781445,0.20764023,0.79560983,-0.8297926,0.84730095,-0.82681113,-0.058198355,-0.04047473,-0.09507846,0.9563094,0.9215931,0.9181586,-0.021269927,0.8344373,-0.856605,0.792814,-0.80288684,0.029065674,0.9365234,-0.3767621,0.8048271,0.82179606,-0.006663639,-0.86174786,-0.85671014,-0.9635171,0.6470513,0.78805876,-0.73470265,0.5964191,-0.39589545,-0.77808267,-0.012683577,0.81647754,-0.51141745,-0.07672012,0.88816684,-0.89346606,0.6278307,0.8428786,0.20598634,0.5724739,0.020519823,0.9270759,-0.7263734,-0.7629933,0.72841907
19,-0.6406374,0.51325804,-0.9076796,0.8261831,0.735502,-0.14500682,0.88032097,0.30334994,-0.056737747,0.0031614504,0.005315404,0.7352293,0.82106054,0.13792378,-0.45483932,0.5006561,0.64757484,0.100745834,-0.006430378,0.69765174,-0.79462963,0.75508183,-0.74112767,0.029771442,-0.03238767,-0.12365331,0.89394504,0.75721985,0.8515563,-0.020632472,0.74208254,-0.78556633,0.5742376,-0.67302316,0.015377948,0.8049082,-0.55328405,0.76843745,0.71362865,-0.016689215,-0.5368907,-0.5472269,-0.8109273,0.5755371,0.66579455,-0.5850615,0.70709485,-0.3529381,-0.43458325,-0.03439889,0.6313415,-0.3858621,-0.09903008,0.93573797,-0.64303255,0.48286745,0.74517184,0.13315299,0.17346081,0.033545677,0.3570659,-0.014427349,-0.72538465,0.68090105
